Date,XBT Curncy
07/21/16 00:00,667.0649
07/22/16 00:00,657.6475
07/25/16 00:00,655.875
07/26/16 00:00,654.6899
07/27/16 00:00,657.12
07/28/16 00:00,653.955
07/29/16 00:00,657.67
08/03/16 00:00,559.495
08/04/16 00:00,572.775
08/05/16 00:00,577.23
08/08/16 00:00,591.54
08/09/16 00:00,589.905
08/10/16 00:00,599.61
08/12/16 00:00,586.4575
08/16/16 00:00,577.4901
08/17/16 00:00,570.25
08/18/16 00:00,575.7301
08/19/16 00:00,575.395
08/22/16 00:00,585.155
08/23/16 00:00,580.16
08/24/16 00:00,579.985
08/25/16 00:00,575.6151
08/26/16 00:00,577.835
08/30/16 00:00,575.4725
08/31/16 00:00,571.3059
09/01/16 00:00,569.8101
09/02/16 00:00,574.2275
09/06/16 00:00,609.4025
09/08/16 00:00,627.1125
09/09/16 00:00,620.835
09/12/16 00:00,605.3051
09/13/16 00:00,606.6175
09/14/16 00:00,609.5725
09/20/16 00:00,608.03
09/21/16 00:00,594.995
09/23/16 00:00,602.0025
09/26/16 00:00,606.5935
09/27/16 00:00,604.79
09/28/16 00:00,604.4253
09/29/16 00:00,605.785
09/30/16 00:00,605.9922
10/11/16 00:00,634.8
10/13/16 00:00,636.876
10/14/16 00:00,638.5825
10/17/16 00:00,638.38
10/18/16 00:00,635.6126
10/19/16 00:00,628.1247
10/20/16 00:00,628.3051
10/24/16 00:00,649.4926
10/25/16 00:00,654.0851
10/26/16 00:00,668.275
10/27/16 00:00,678.9301
10/28/16 00:00,688.3551
10/31/16 00:00,705.1951
11/01/16 00:00,727.9775
11/04/16 00:00,698.8625
11/07/16 00:00,707.0458
11/08/16 00:00,710.2904
11/09/16 00:00,726.295
11/10/16 00:00,713.0078
11/11/16 00:00,714.9351
11/14/16 00:00,700.1
11/16/16 00:00,729.96
11/17/16 00:00,743.8851
11/18/16 00:00,743.26
11/21/16 00:00,737.235
11/22/16 00:00,746.0651
11/25/16 00:00,737.6925
11/28/16 00:00,733.5601
11/29/16 00:00,733.7176
11/30/16 00:00,741.7379
12/01/16 00:00,752.965
12/02/16 00:00,773.9955
12/05/16 00:00,753.8151
12/06/16 00:00,755.005
12/07/16 00:00,763.7825
12/08/16 00:00,770.5652
12/09/16 00:00,771.14
12/12/16 00:00,778.3687
12/13/16 00:00,779.3401
12/14/16 00:00,777.2135
12/15/16 00:00,778.16
12/16/16 00:00,780.6801
12/19/16 00:00,791.64
12/20/16 00:00,792.03
12/21/16 00:00,822.5695
12/22/16 00:00,863.2777
12/28/16 00:00,954.7876
12/29/16 00:00,954.7475
01/04/17 00:00,1133
01/05/17 00:00,964.2272
01/10/17 00:00,904.4501
01/11/17 00:00,770.745
01/12/17 00:00,807.61
01/13/17 00:00,830.6976
01/17/17 00:00,902.4399
01/18/17 00:00,877.3802
01/19/17 00:00,904.9307
01/20/17 00:00,898.855
01/23/17 00:00,920.755
01/24/17 00:00,909.605
02/03/17 00:00,1011.6649
02/06/17 00:00,1022.3101
02/07/17 00:00,1048.9451
02/08/17 00:00,1058.7852
02/09/17 00:00,983.615
02/10/17 00:00,1004.03
02/13/17 00:00,998.1759
02/14/17 00:00,1012.4391
02/15/17 00:00,1012.015
02/16/17 00:00,1034.985
02/17/17 00:00,1058.8552
02/21/17 00:00,1117.985
02/22/17 00:00,1133.625
02/23/17 00:00,1156.1505
02/24/17 00:00,1177.2845
03/01/17 00:00,1221.089
03/02/17 00:00,1283.03
03/03/17 00:00,1277.3945
03/06/17 00:00,1278.9719
03/07/17 00:00,1255.865
03/08/17 00:00,1187.4985
03/09/17 00:00,1199.8829
03/10/17 00:00,1100.5601
03/13/17 00:00,1241.225
03/14/17 00:00,1252.3225
03/15/17 00:00,1250.7
03/16/17 00:00,1219.985
03/17/17 00:00,1096.9136
03/21/17 00:00,1110.925
03/22/17 00:00,1013.755
03/23/17 00:00,1038.8711
03/24/17 00:00,960.7375
03/27/17 00:00,1025.0775
03/28/17 00:00,1051.7625
03/29/17 00:00,1046.0851
03/30/17 00:00,1033.4233
03/31/17 00:00,1074.6862
04/05/17 00:00,1121.01
04/06/17 00:00,1172.1639
04/07/17 00:00,1199.2368
04/10/17 00:00,1211.947
04/11/17 00:00,1231.995
04/12/17 00:00,1217.9651
04/13/17 00:00,1171.4901
04/18/17 00:00,1199.995
04/19/17 00:00,1202.3901
04/20/17 00:00,1238.3695
04/24/17 00:00,1248.049
04/26/17 00:00,1311.145
04/27/17 00:00,1332.2826
04/28/17 00:00,1304.911
05/02/17 00:00,1463.91
05/08/17 00:00,1611.3551
05/09/17 00:00,1736.2351
05/10/17 00:00,1785.755
05/11/17 00:00,1864.9396
05/12/17 00:00,1691.8046
05/15/17 00:00,1727.9955
05/16/17 00:00,1771.7902
05/17/17 00:00,1833.9401
05/18/17 00:00,1866.02
05/19/17 00:00,1938.0422
05/22/17 00:00,2203.9521
05/23/17 00:00,2193.5151
05/24/17 00:00,2423.3799
05/26/17 00:00,2268.6978
05/31/17 00:00,2298.04
06/01/17 00:00,2356.02
06/02/17 00:00,2430.8311
06/07/17 00:00,2813.5352
06/08/17 00:00,2742.2251
06/09/17 00:00,2834.4829
06/13/17 00:00,2744.4116
06/14/17 00:00,2553.0801
06/16/17 00:00,2484.6489
06/19/17 00:00,2567.74
06/20/17 00:00,2657.8921
06/21/17 00:00,2702.2651
06/22/17 00:00,2715.79
06/26/17 00:00,2382.0024
06/27/17 00:00,2307.3201
06/28/17 00:00,2536.52
06/29/17 00:00,2575.26
06/30/17 00:00,2502.5029
07/03/17 00:00,2558.575
07/05/17 00:00,2579.99
07/06/17 00:00,2594.78
07/07/17 00:00,2514.8652
07/10/17 00:00,2407.0549
07/11/17 00:00,2361.1001
07/12/17 00:00,2393.1101
07/13/17 00:00,2343.3599
07/14/17 00:00,2159.0449
07/18/17 00:00,2299.5496
07/19/17 00:00,2301.3555
07/20/17 00:00,2585.635
07/21/17 00:00,2640.5005
07/24/17 00:00,2759.9951
07/25/17 00:00,2542.9849
07/26/17 00:00,2433.095
07/27/17 00:00,2557.49
07/28/17 00:00,2755.645
07/31/17 00:00,2789.7549
08/02/17 00:00,2704.0049
08/03/17 00:00,2764.417
08/04/17 00:00,2831.9951
08/07/17 00:00,3379.9951
08/08/17 00:00,3371.6548
08/09/17 00:00,3309.2949
08/10/17 00:00,3432.2949
08/14/17 00:00,4286.5
08/16/17 00:00,4295.2559
08/17/17 00:00,4346.0059
08/18/17 00:00,4022.75
08/21/17 00:00,4002.395
08/22/17 00:00,3963.4299
08/24/17 00:00,4217.0254
